Year,Industry,Type of Wages,Characteristics,Both sexes,Females,Males,Gender Pay Ratio,Gender Pay Gap (%)
1997,Accommodation and food services,Average hourly wage rate,Both full- and part-time employees,8.227348484848484,7.792784090909091,9.169545454545453,0.8498550042135529,15.014499578644713
1997,Accommodation and food services,Average hourly wage rate,Full-time employees,8.643409090909092,8.19340909090909,9.698920454545455,0.8447753674553752,15.522463254462481
1997,Accommodation and food services,Average hourly wage rate,Part-time employees,7.499090909090909,7.470075757575758,7.9714285714285715,0.9371062778320843,6.289372216791566
1997,Accommodation and food services,Average weekly wage rate,Both full- and part-time employees,261.47540404040404,233.28553977272728,320.3725568181818,0.7281695476342618,27.18304523657382
1997,Accommodation and food services,Average weekly wage rate,Full-time employees,339.5049494949495,311.44522727272727,394.67875,0.7891107065498897,21.08892934501103
1997,Accommodation and food services,Average weekly wage rate,Part-time employees,130.1939393939394,132.5125,128.91931818181817,1.0278715546192563,-2.787155461925628
1997,Accommodation and food services,Median hourly wage rate,Both full- and part-time employees,7.235858585858585,7.016534090909091,8.040795454545455,0.8726169109229921,12.738308907700791
1997,Accommodation and food services,Median hourly wage rate,Full-time employees,7.659646464646464,7.438787878787879,8.617272727272727,0.8632415514998066,13.675844850019336
1997,Accommodation and food services,Median hourly wage rate,Part-time employees,6.7263636363636365,6.720909090909091,6.9507467532467535,0.966933385649491,3.306661435050895
1997,Accommodation and food services,Median weekly wage rate,Both full- and part-time employees,229.0057828282828,214.47423295454544,282.1398295454546,0.7601699954950608,23.98300045049392
1997,Accommodation and food services,Median weekly wage rate,Full-time employees,295.2862373737374,277.3127272727273,339.9738636363636,0.8156883717665463,18.43116282334537
1997,Accommodation and food services,Median weekly wage rate,Part-time employees,122.48409090909091,124.47954545454544,119.3622077922078,1.0428723442452252,-4.287234424522524
1997,Accommodation and food services,"Total employees, all wages",Both full- and part-time employees,70.81792929292929,43.480397727272724,28.139772727272728,1.5451580987764002,-54.515809877640024
1997,Accommodation and food services,"Total employees, all wages",Full-time employees,40.34545454545455,23.279545454545456,17.936363636363637,1.2978966041561075,-29.789660415610754
1997,Accommodation and food services,"Total employees, all wages",Part-time employees,31.43257575757576,21.152272727272727,10.979220779220778,1.9265732197776202,-92.65732197776202
1997,Agriculture,Average hourly wage rate,Both full- and part-time employees,9.857659090909092,9.16925,9.982306818181819,0.9185502075831897,8.144979241681028
1997,Agriculture,Average hourly wage rate,Full-time employees,9.874045454545456,8.615638888888888,10.18278787878788,0.84609823865981,15.390176134018995
1997,Agriculture,Average hourly wage rate,Part-time employees,9.9204375,10.219553571428571,8.765238095238095,1.1659185364263596,-16.591853642635957
1997,Agriculture,Average weekly wage rate,Both full- and part-time employees,368.34052272727274,258.6091388888889,418.8408409090909,0.6174401195632682,38.255988043673185
1997,Agriculture,Average weekly wage rate,Full-time employees,439.8633409090909,350.4569722222222,463.2785681818182,0.756471367966847,24.3528632033153
1997,Agriculture,Average weekly wage rate,Part-time employees,143.816375,145.33242857142858,131.78047619047618,1.1028373304810672,-10.283733048106726
1997,Agriculture,Median hourly wage rate,Both full- and part-time employees,8.638674242424242,8.169333333333334,8.938636363636363,0.913935079244004,8.606492075599604
1997,Agriculture,Median hourly wage rate,Full-time employees,8.794522727272728,7.953888888888889,8.980871212121212,0.8856478064348328,11.435219356516724
1997,Agriculture,Median hourly wage rate,Part-time employees,8.780875,8.993125,7.901904761904762,1.13809584789683,-13.809584789682994
1997,Agriculture,Median weekly wage rate,Both full- and part-time employees,331.9412121212121,234.19722222222222,374.44243181818183,0.6254558840594793,37.454411594052075
1997,Agriculture,Median weekly wage rate,Full-time employees,382.1231818181818,331.45833333333337,401.6569924242424,0.8252273446872722,17.477265531272778
1997,Agriculture,Median weekly wage rate,Part-time employees,123.62862500000001,123.87316071428572,120.98190476190474,1.0238982512142707,-2.3898251214270694
1997,Agriculture,"Total employees, all wages",Both full- and part-time employees,11.396818181818182,5.128888888888889,7.529886363636364,0.681137621632317,31.886237836768306
1997,Agriculture,"Total employees, all wages",Full-time employees,8.797045454545454,3.7930555555555556,6.48719696969697,0.5846986877805156,41.53013122194844
1997,Agriculture,"Total employees, all wages",Part-time employees,3.6675000000000004,2.500178571428571,2.823809523809524,0.885392074198988,11.460792580101199
1997,"Business, building and other support services",Average hourly wage rate,Both full- and part-time employees,10.044873737373738,10.161388888888888,10.464507575757576,0.9710336406491881,2.896635935081193
1997,"Business, building and other support services",Average hourly wage rate,Full-time employees,10.511186868686869,10.85440340909091,10.821415584415584,1.00304838349641,-0.3048383496409901
1997,"Business, building and other support services",Average hourly wage rate,Part-time employees,9.042348484848484,8.97772619047619,9.590972222222224,0.9360600763366673,6.393992366333268
1997,"Business, building and other support services",Average weekly wage rate,Both full- and part-time employees,345.9409595959596,329.7915151515151,379.5210984848485,0.8689675395337244,13.103246046627559
1997,"Business, building and other support services",Average weekly wage rate,Full-time employees,417.10426262626265,420.8892329545455,438.4937857142857,0.9598522183591195,4.014778164088051
1997,"Business, building and other support services",Average weekly wage rate,Part-time employees,145.3055303030303,150.51492460317462,158.9713888888889,0.946805117922038,5.319488207796197
1997,"Business, building and other support services",Median hourly wage rate,Both full- and part-time employees,8.781818181818181,9.191843434343435,8.944747474747475,1.027624699332603,-2.762469933260303
1997,"Business, building and other support services",Median hourly wage rate,Full-time employees,9.231363636363636,10.256818181818183,9.309886363636362,1.1017125001525752,-10.171250015257517
1997,"Business, building and other support services",Median hourly wage rate,Part-time employees,7.903181818181817,7.898194444444444,8.254166666666666,0.9568736328453643,4.312636715463569
